content,category
"Friedrich Nietzsche proclamó la muerte de Dios para señalar la crisis de los valores tradicionales en la modernidad.",Nietzsche
"Nietzsche concibió al superhombre como el ser humano que crea sus propios valores más allá del bien y del mal.",Nietzsche
"Así habló Zaratustra es la obra más célebre de Nietzsche, escrita en forma de sermones filosóficos poéticos.",Nietzsche
"El concepto del eterno retorno de Nietzsche propone vivir cada momento como si debiera repetirse infinitamente.",Nietzsche
"Nietzsche distinguió entre la moral de los amos y la moral de los esclavos en su genealogía de la moral.",Nietzsche
"La voluntad de poder es para Nietzsche el impulso fundamental de toda forma de vida y afirmación vital.",Nietzsche
"Nietzsche contrastó lo apolíneo y lo dionisíaco en su primera obra sobre el nacimiento de la tragedia griega.",Nietzsche
"Nietzsche pasó sus últimos once años en estado de demencia tras colapsar en las calles de Turín en 1889.",Nietzsche
"Arthur Schopenhauer es conocido como el filósofo del pesimismo por su visión del sufrimiento como esencia de la vida.",Schopenhauer
"El mundo como voluntad y representación es la obra capital de Schopenhauer, publicada en 1818.",Schopenhauer
"Schopenhauer sostuvo que la voluntad ciega e irracional es la fuerza que domina todo el universo.",Schopenhauer
"Para Schopenhauer, el arte y especialmente la música ofrecen un alivio temporal del sufrimiento humano.",Schopenhauer
"Schopenhauer fue profundamente influido por la filosofía hindú y budista, algo inusual entre los pensadores occidentales.",Schopenhauer
"La compasión es para Schopenhauer el fundamento de la moralidad, pues nace de identificarse con el dolor ajeno.",Schopenhauer
"Schopenhauer propuso que la renuncia al deseo es el único camino para liberarse del ciclo del sufrimiento.",Schopenhauer
"Schopenhauer se llevaba tan mal con Hegel que programó sus clases a la misma hora que las suyas y nadie asistió.",Schopenhauer
"Albert Camus definió el absurdo como el choque entre el deseo humano de sentido y el silencio del universo.",Camus
"El mito de Sísifo es el ensayo donde Camus propone que hay que imaginar a Sísifo feliz a pesar de su castigo eterno.",Camus
"El extranjero, la novela más famosa de Camus, relata la indiferencia de Meursault ante la vida y la muerte.",Camus
"Camus rechazaba la etiqueta de existencialista, aunque su obra se estudia junto a la de Sartre y Beauvoir.",Camus
"La peste, de Camus, narra una epidemia en Orán como alegoría de la resistencia humana ante el mal.",Camus
"Camus ganó el Premio Nobel de Literatura en 1957 siendo uno de los escritores más jóvenes en recibirlo.",Camus
"El hombre rebelde es el ensayo de Camus donde distingue entre la rebelión digna y la revolución tiránica.",Camus
"Camus trabajó como periodista en el periódico clandestino Combat durante la ocupación nazi de Francia.",Camus
"Jean-Paul Sartre defendió que la existencia precede a la esencia, pues el ser humano se define por sus actos.",Sartre
"El ser y la nada es la obra filosófica fundamental de Sartre, publicada durante la ocupación de París en 1943.",Sartre
"Sartre sostuvo que el ser humano está condenado a ser libre, responsable absoluto de todas sus elecciones.",Sartre
"La mala fe es para Sartre la mentira que nos contamos para escapar de la responsabilidad de nuestra libertad.",Sartre
"A puerta cerrada es la obra de teatro de Sartre donde aparece la famosa frase el infierno son los otros.",Sartre
"Sartre rechazó el Premio Nobel de Literatura en 1964 por no aceptar condecoraciones de ninguna institución.",Sartre
"Simone de Beauvoir fue la compañera intelectual y vital de Sartre durante más de medio siglo.",Sartre
"La náusea, primera novela de Sartre, describe el vértigo de un hombre ante la existencia pura de las cosas.",Sartre
"Fiódor Dostoievski exploró las profundidades del alma humana en novelas como Crimen y castigo y Los hermanos Karamazov.",Dostoievski
"Dostoievski fue condenado a muerte por conspiración y su fusilamiento se suspendió a último momento, trauma que marcó su obra.",Dostoievski
"En Crimen y castigo, Dostoievski sigue a Raskólnikov, un estudiante que asesina para demostrar que es un hombre extraordinario.",Dostoievski
"Los hermanos Karamazov aborda el conflicto entre la fe y la razón a través de Iván y el legendario cuento del Gran Inquisidor.",Dostoievski
"Dostoievski pasó cuatro años preso en un campo de trabajos de Siberia, experiencia que relató en Memorias de la casa muerta.",Dostoievski
"El jugador es la novela donde Dostoievski volcó su propia adicción al juego, escrita bajo la presión de una deuda.",Dostoievski
"Dostoievski escribió Memorias del subsuelo, considerada una de las primeras obras de la literatura existencialista.",Dostoievski
"El idiota, de Dostoievski, retrata al príncipe Mishkin como un cristo ingenuo en una sociedad corrupta y egoísta.",Dostoievski
"León Tolstoi es autor de Guerra y paz y Anna Karénina, consideradas cumbres de la novela realista mundial.",Tolstoi
"Guerra y paz retrata la sociedad rusa durante las guerras napoleónicas entrelazando historia, filosofía y vida familiar.",Tolstoi
"Anna Karénina comienza con la célebre frase sobre que todas las familias felices se parecen y las infelices no.",Tolstoi
"Tolstoi atravesó una profunda crisis espiritual a los cincuenta años que lo llevó a rechazar su vida aristocrática.",Tolstoi
"El tolstoísmo predicaba la no violencia, el trabajo manual y el cristianismo sin iglesia, e influyó en Gandhi.",Tolstoi
"La muerte de Iván Ilich es el relato de Tolstoi sobre un funcionario que descubre el sentido de la vida al morir.",Tolstoi
"Tolstoi fue excomulgado por la Iglesia ortodoxa rusa en 1901 por sus críticas al cristianismo institucional.",Tolstoi
"Tolstoi murió en 1910 en la pequeña estación de tren de Astápovo, tras huir de su casa en Yásnaia Poliana.",Tolstoi
